Arquivo gerado automaticamente - Dados do forno - LAFAC USP 
 
 
chave 	 Data e horario completo  	t_0 		s1 	s2 	s3 	s4 	s5 	s6	experimento
3575	2015-09-10 12:11:02.054752	1441897862.05	291.9563	127.2723	241.5978	160.644	274.0672	135.9938	None	
3576	2015-09-10 12:11:12.058061	1441897872.05	291.5638	126.9253	241.9387	159.634	275.1838	135.9938	None	
3577	2015-09-10 12:11:22.746070	1441897882.74	290.3863	123.1083	241.9387	168.118	276.6726	136.4487	None	
3578	2015-09-10 12:11:32.761719	1441897892.76	290.3863	125.5373	241.9387	166.704	275.9282	133.7193	None	
3579	2015-09-10 12:11:43.511905	1441897903.51	291.1713	125.8843	241.9387	167.108	275.1838	133.2644	None	
3580	2015-09-10 12:11:53.533388	1441897913.53	288.4238	129.3543	242.6205	160.24	275.1838	133.7193	None	
3581	2015-09-10 12:12:04.219701	1441897924.21	289.6013	127.2723	242.6205	162.462	275.9282	135.9938	None	
3582	2015-09-10 12:12:14.241049	1441897934.24	290.7788	121.7203	242.2796	169.33	276.6726	139.1781	None	
3583	2015-09-10 12:12:24.994661	1441897944.99	290.7788	124.8433	241.9387	167.512	275.1838	135.9938	None	
3584	2015-09-10 12:12:35.013055	1441897955.01	290.7788	126.5783	242.2796	160.24	274.0672	136.9036	None	
3585	2015-09-10 12:12:45.860418	1441897965.86	291.1713	122.0673	241.9387	167.108	275.9282	139.1781	None	
3586	2015-09-10 12:12:55.882160	1441897975.88	290.7788	121.7203	241.9387	168.926	276.6726	137.3585	None	
3587	2015-09-10 12:13:06.633491	1441897986.63	291.5638	125.1903	242.2796	160.038	274.8116	134.1742	None	
3588	2015-09-10 12:13:16.904068	1441897996.9	293.1338	120.3323	241.5978	163.674	275.9282	137.3585	None	
3589	2015-09-10 12:13:27.338519	1441898007.33	291.1713	122.7613	241.9387	161.048	275.9282	135.5389	None	
3590	2015-09-10 12:13:37.354022	1441898017.35	291.1713	122.4143	241.5978	162.058	275.1838	136.9036	None	
3591	2015-09-10 12:13:48.091348	1441898028.09	290.7788	125.8843	241.9387	163.27	276.6726	133.7193	None	
3592	2015-09-10 12:13:58.109713	1441898038.1	289.2088	122.7613	241.9387	166.502	277.7892	136.4487	None	
3593	2015-09-10 12:14:08.902027	1441898048.9	289.2088	125.8843	242.6205	158.22	277.0448	137.3585	None	
3594	2015-09-10 12:14:18.922610	1441898058.92	290.7788	127.2723	241.9387	159.432	276.6726	135.9938	None	
3595	2015-09-10 12:14:29.611735	1441898069.61	290.3863	125.5373	241.5978	165.896	278.1614	140.0879	None	
3596	2015-09-10 12:14:39.625946	1441898079.62	289.2088	123.1083	241.9387	167.714	278.5336	141.4526	None	
